Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,69.70999908447266,69.7300033569336,69.43000030517578,69.70999908447266,69.70999908447266,0
2019-01-02,69.44300079345703,70.23300170898438,69.44300079345703,69.70999908447266,69.70999908447266,0
2019-01-03,69.95999908447266,70.51000213623047,69.95999908447266,69.95999908447266,69.95999908447266,0
2019-01-04,70.10050201416016,70.13030242919922,69.5999984741211,70.30000305175781,70.30000305175781,0
2019-01-07,69.5250015258789,69.91999816894531,69.08000183105469,69.5250015258789,69.5250015258789,0
2019-01-08,69.80999755859375,70.23400115966797,69.72000122070312,69.80999755859375,69.80999755859375,0
2019-01-09,70.125,70.62999725341797,70.01000213623047,70.33000183105469,70.33000183105469,0
2019-01-10,70.55049896240234,70.63999938964844,70.31999969482422,70.55049896240234,70.55049896240234,0
2019-01-11,70.41000366210938,70.56999969482422,70.3499984741211,70.72000122070312,70.72000122070312,0
2019-01-14,70.37000274658203,70.93800354003906,70.2699966430664,70.37000274658203,70.37000274658203,0
2019-01-15,71.08499908447266,71.13999938964844,70.69000244140625,71.08499908447266,71.08499908447266,0
2019-01-16,71.09249877929688,71.25,70.93000030517578,71.09249877929688,71.09249877929688,0
2019-01-17,71.36499786376953,71.56999969482422,70.97049713134766,71.36499786376953,71.36499786376953,0
2019-01-18,71.02999877929688,71.26000213623047,70.9800033569336,71.03019714355469,71.03019714355469,0
2019-01-21,71.2300033569336,71.52999877929688,71.12999725341797,71.2300033569336,71.2300033569336,0
2019-01-22,71.18499755859375,71.447998046875,71.06999969482422,71.5,71.5,0
2019-01-23,71.2302017211914,71.36000061035156,71.0978012084961,71.2302017211914,71.2302017211914,0
2019-01-24,71.15730285644531,71.30000305175781,70.94000244140625,71.15730285644531,71.15730285644531,0
2019-01-25,70.98999786376953,71.2229995727539,70.88400268554688,70.98999786376953,70.98999786376953,0
2019-01-28,70.9749984741211,71.19000244140625,70.86000061035156,70.9749984741211,70.9749984741211,0
2019-01-29,71.09010314941406,71.4530029296875,71.0199966430664,71.09010314941406,71.09010314941406,0
2019-01-30,71.42250061035156,71.55000305175781,71.10800170898438,71.62000274658203,71.62000274658203,0
2019-01-31,71.12000274658203,71.2300033569336,70.83999633789062,71.12000274658203,71.12000274658203,0
2019-02-01,70.94999694824219,71.4800033569336,70.91999816894531,71.19999694824219,71.19999694824219,0
2019-02-04,71.45169830322266,71.9000015258789,71.4000015258789,71.45169830322266,71.45169830322266,0
2019-02-05,71.68499755859375,71.80999755859375,71.51000213623047,71.68499755859375,71.68499755859375,0
2019-02-06,71.7699966430664,71.7699966430664,71.44999694824219,71.7699966430664,71.7699966430664,0
