,China Containerized Freight Index,China Shanghai Containerized Freight Index
2018-08-03,821.1300,890.5200
2018-08-10,823.7700,893.8800
2018-08-17,831.2900,891.8300
2018-08-24,840.4100,901.6600
2018-08-31,848.1600,939.4800
2018-09-07,856.0600,921.3600
2018-09-14,857.3700,909.7400
2018-09-21,851.5500,890.2100
2018-09-28,853.6100,870.5800
2018-10-12,833.6400,904.5100
2018-10-19,828.5900,926.2500
2018-10-26,829.2400,956.6300
2018-11-02,844.5900,976.5200
2018-11-09,854.3500,961.8800
2018-11-16,866.5800,951.5700
2018-11-23,859.9200,903.9000
2018-11-30,857.4500,890.4100
2018-12-07,856.3000,861.5500
2018-12-14,854.6500,848.6500
2018-12-21,841.6500,833.8500
2018-12-28,834.8600,910.8100
2019-01-04,841.7800,940.8600
2019-01-11,854.8100,940.0800
2019-01-18,871.5600,968.0700
2019-01-25,880.2500,945.4400
2019-02-01,891.3200,934.4400
2019-02-15,888.8400,888.2900
2019-02-22,878.7700,847.7500
2019-03-01,850.4700,803.7100
2019-03-08,830.4900,766.9200
2019-03-15,821.0400,742.1000
2019-03-22,813.3700,727.8800
2019-03-29,798.5200,793.4900
2019-04-04,797.1400,
2019-04-05,797.1400,792.2500
2019-04-12,799.7900,782.4600
2019-04-19,801.2800,761.7400
2019-04-26,802.2700,778.0000
2019-05-10,792.1500,756.8800
2019-05-17,804.4600,726.2300
2019-05-24,802.7200,723.9300
2019-05-31,798.3000,782.1200
2019-06-06,795.5800,
2019-06-07,795.5800,783.0500
2019-06-14,811.4400,779.1200
2019-06-21,818.8300,764.4600
2019-06-28,818.9700,829.7000
2019-07-05,815.0100,810.9100
2019-07-12,813.9900,817.4100
2019-07-19,816.3100,790.7700
2019-07-26,823.9500,788.9300
2019-08-02,822.9900,830.9400
2019-08-09,817.6400,822.0900
2019-08-16,830.1800,803.8200
2019-08-23,833.5600,774.6200
2019-08-30,833.2900,819.6500
2019-09-06,823.7500,795.0500
2019-09-12,823.8300,
2019-09-13,,765.7900
2019-09-20,818.3300,734.0900
2019-09-27,807.8400,722.9000
2019-10-11,783.1500,715.9700
2019-10-18,776.9200,746.6300
2019-10-25,777.3600,774.2700
2019-11-01,795.1000,847.1100
2019-11-08,808.9300,837.9900
2019-11-15,834.8700,797.7800
2019-11-22,835.9800,765.4700
2019-11-29,825.5700,819.6300
2019-12-06,822.7200,850.2700
2019-12-13,836.5500,880.4400
2019-12-20,854.3700,904.8300
2019-12-27,878.8600,958.5700
2020-01-03,897.5300,1022.7200
2020-01-10,927.0600,1002.5800
2020-01-17,964.9500,990.6800
2020-01-23,965.3100,
2020-01-24,965.3100,981.1900
2020-02-14,936.6500,910.5800
2020-02-21,920.0500,887.7200
2020-02-28,905.4000,875.7600
2020-03-06,904.2400,871.1600
2020-03-13,898.4400,911.8500
2020-03-20,894.2300,898.0500
2020-03-27,897.6900,889.8000
2020-04-03,896.0900,890.3700
2020-04-10,886.2600,867.8200
2020-04-17,884.1900,829.2900
2020-04-24,870.3300,818.1600
2020-04-30,851.1000,
2020-05-01,851.1000,852.2700
2020-05-08,834.9000,855.0700
2020-05-15,834.2400,854.0800
2020-05-22,836.6400,847.6300
2020-05-29,839.2700,920.3800
2020-06-05,841.1800,925.5000
2020-06-12,839.1900,1015.3300
2020-06-19,842.6000,988.8200
2020-06-24,841.8300,
2020-06-26,841.8300,1001.3300
2020-07-03,853.9000,1055.1300
2020-07-10,864.7200,1033.5800
2020-07-17,862.1100,1035.6100
2020-07-24,870.8300,1022.0300
2020-07-31,865.5300,1103.4700
2020-08-07,864.8600,1107.3900
2020-08-14,880.5300,1167.9100
2020-08-21,885.4600,1183.7000
2020-08-28,905.2300,1263.2600
2020-09-04,922.0000,1320.8000
2020-09-11,949.4800,1355.0400
2020-09-18,985.4400,1409.5700
2020-09-25,1007.4400,1421.7500
2020-09-30,1023.0200,1443.5400
2020-10-09,1050.3200,1438.2200
2020-10-16,1053.8000,1448.8700
2020-10-23,1054.3400,1469.0300
2020-10-30,1074.1900,1529.9900
2020-11-06,1110.7000,1664.5600
2020-11-13,1107.2800,1857.3300
2020-11-20,1145.6700,1938.3100
2020-11-27,1198.7200,2048.2700
2020-12-04,1323.8300,2129.2600
2020-12-11,1411.9800,2311.7100
2020-12-18,1488.7200,2411.8200
2020-12-25,1577.2000,2641.8700
2020-12-31,1658.5800,2783.0300
2021-01-08,1753.8500,2870.3400
2021-01-15,1863.8400,2885.0000
2021-01-22,1966.6400,2868.9500
2021-01-29,2040.1800,2861.6900
2021-02-05,2060.2600,2884.6100
2021-02-10,2061.5100,2825.7500
2021-02-19,2071.7100,2875.9300
2021-02-26,2059.5200,2775.2900
2021-03-05,1970.5800,2721.9400
2021-03-12,1912.1300,2637.5300
2021-03-19,1908.0900,2583.8700
2021-03-26,1863.6100,2570.6800
2021-04-02,1871.7800,2585.4200
2021-04-09,1858.0100,2652.1200
2021-04-16,1853.5300,2833.4200
2021-04-23,1903.5000,2979.7600
2021-04-30,1991.1600,3100.7400
2021-05-07,2074.3500,3095.1600
2021-05-14,2134.3700,3343.3400
2021-05-21,2216.6300,3432.5000
2021-05-28,2296.3600,3495.7600
2021-06-04,2373.7700,3613.0700
2021-06-11,2442.5700,3703.9300
2021-06-18,2526.6500,3748.3600
2021-06-25,2591.4100,3785.4000
2021-07-02,2653.3200,3905.1400
2021-07-09,2698.8300,3932.3500
2021-07-16,2771.5400,4054.4200
2021-07-23,2854.0200,4100.0000
2021-07-30,2930.0300,4196.2400
2021-08-06,3006.8200,4225.8600
2021-08-13,2978.4700,4281.5300
2021-08-20,3047.3200,4340.1800
2021-08-27,3079.0400,4385.6200
2021-09-03,3097.5800,4502.6500
2021-09-10,3157.6000,4568.1600
2021-09-17,3156.8600,4622.5100
2021-09-24,3235.2600,4643.7900
2021-09-30,3220.5500,4614.1000
2021-10-08,3271.7000,4647.6000
2021-10-15,3300.3400,4588.0700
2021-10-22,3315.2700,4583.3900
2021-10-29,3277.7100,4567.2800
2021-11-05,3284.9300,4535.9200
2021-11-12,3232.3700,4554.0400
2021-11-19,3245.5900,4555.2100
2021-11-26,3199.9800,4601.9700
2021-12-03,3199.0300,4727.0600
2021-12-10,3238.3500,4810.9800
2021-12-17,3245.2200,4894.6200
2021-12-24,3300.1900,4956.0200
2021-12-31,3344.2400,5046.6600
2022-01-07,3432.7900,5109.6000
2022-01-14,3489.9400,5094.3600
2022-01-21,3555.2400,5053.1200
2022-01-28,3565.3300,5010.3600
2022-02-11,3587.9100,4980.9300
2022-02-18,3500.1900,4946.0100
2022-02-25,3425.5800,4818.4700
2022-03-04,3388.5900,4746.9800
2022-03-11,3366.0100,4625.0600
2022-03-18,3301.1000,4540.3100
2022-03-25,3274.9000,4434.0700
2022-04-01,3204.8300,4348.7100
2022-04-08,3117.7500,4263.6600
2022-04-15,3128.4500,4228.6500
2022-04-22,3109.7800,4195.9800
2022-04-29,3096.8500,4177.3000
2022-05-06,3056.9800,4163.7400
2022-05-13,3088.0300,4147.8300
2022-05-20,3135.7800,4162.6900
2022-05-27,3190.9500,4175.3500
2022-06-02,3186.6500,4208.0100
2022-06-10,3229.5600,4233.3100
2022-06-17,3252.5000,4221.9600
2022-06-24,3244.7800,4216.1300
2022-07-01,3271.0700,4203.2700
2022-07-08,3232.1800,4143.8700
2022-07-15,3276.8500,4074.7000
2022-07-22,3229.7200,3996.7700
2022-07-29,3188.6100,3887.8500
2022-08-05,3163.4500,3739.7200
2022-08-12,3073.2800,3562.6700
2022-08-19,2993.6700,3429.8300
2022-08-26,2904.0000,3154.2600
2022-09-02,2830.1100,2847.6200
2022-09-09,2722.7700,2562.1200
2022-09-16,2609.0900,2312.6500
2022-09-23,2475.9700,2072.0400
2022-09-30,2328.8100,1922.9500
2022-10-14,2026.2600,1814.0000
2022-10-21,1959.9600,1778.6900
2022-10-28,1862.2500,1697.6500
2022-11-04,1790.8600,1579.2100
2022-11-11,1729.9200,1443.2900
2022-11-18,1651.2600,1306.8400
2022-11-25,1563.4600,1229.9000
2022-12-02,1464.7600,1171.3600
2022-12-09,1410.1100,1138.0900
2022-12-16,1339.4300,1123.2900
2022-12-23,1307.5400,1107.0900
2022-12-30,1271.3100,1107.5500
2023-01-06,1255.8900,1061.1400
2023-01-13,1201.5500,1031.4200
2023-01-20,1160.5900,1029.7500
2023-02-03,1110.0000,1006.8900
2023-02-10,1133.1000,995.1600
2023-02-17,1094.0500,974.6600
2023-02-24,1077.7500,946.6800
2023-03-03,1057.6800,931.0800
