,China Containerized Freight Index,China Shanghai Containerized Freight Index
2005-12-02,1101.3500,
2005-12-09,1105.9200,
2005-12-16,1093.3500,
2005-12-23,1084.3300,
2005-12-30,1072.4200,
2006-01-06,1078.7600,
2006-01-13,1055.5300,
2006-01-20,1043.7300,
2006-01-27,1050.7500,
2006-02-03,1057.0400,
2006-02-10,1048.0300,
2006-02-17,1035.0600,
2006-02-24,1013.6000,
2006-03-03,1022.8600,
2006-03-10,1001.5400,
2006-03-17,988.7900,
2006-03-24,986.0000,
2006-03-31,992.0000,
2006-04-07,999.0000,
2006-04-14,993.7100,
2006-04-21,984.4800,
2006-04-28,1007.0000,
2006-05-05,1013.0000,
2006-05-12,992.8100,
2006-05-19,1006.7000,
2006-05-26,998.3700,
2006-06-02,993.3700,
2006-06-09,995.8000,
2006-06-16,1001.9100,
2006-06-23,993.3900,
2006-06-30,996.6000,
2006-07-07,987.0200,
2006-07-14,991.5000,
2006-07-21,1000.3900,
2006-07-28,1001.9300,
2006-08-04,998.0000,
2006-08-11,1007.8200,
2006-08-18,1003.4400,
2006-08-25,1020.8000,
2006-09-01,1009.6400,
2006-09-08,1027.4900,
2006-09-15,1028.8400,
2006-09-22,1025.8100,
2006-09-29,1030.7300,
2006-10-06,1037.7300,
2006-10-13,1060.0300,
2006-10-20,1066.0500,
2006-10-27,1055.8900,
2006-11-03,1077.2300,
2006-11-10,1079.5000,
2006-11-17,1069.9500,
2006-11-24,1080.4500,
2006-12-01,1038.6900,
2006-12-08,1032.9700,
2006-12-15,1030.9200,
2006-12-22,1028.3000,
2006-12-29,1034.2400,
2007-01-05,1017.9200,
2007-01-12,1040.1700,
2007-01-19,1033.6500,
2007-01-26,1039.6300,
2007-02-02,1024.1500,
2007-02-09,1023.8800,
2007-02-16,1034.1500,
2007-02-23,1044.1300,
2007-03-02,1012.9300,
2007-03-09,1014.8500,
2007-03-16,1026.0700,
2007-03-23,1004.9800,
2007-03-30,993.7000,
2007-04-06,998.2400,
2007-04-13,1004.9000,
2007-04-20,1005.5700,
2007-04-27,1013.3800,
2007-05-04,1017.3300,
2007-05-11,1026.0600,
2007-05-18,1021.7500,
2007-05-25,1011.8900,
2007-06-01,1030.6200,
2007-06-08,1030.7200,
2007-06-15,1034.9400,
2007-06-22,1029.5300,
2007-06-29,1041.1700,
2007-07-06,1061.8800,
2007-07-13,1053.4700,
2007-07-20,1064.1300,
2007-07-27,1078.3400,
2007-08-03,1092.9500,
2007-08-10,1082.6500,
2007-08-17,1086.8400,
2007-08-24,1102.2000,
2007-08-31,1097.8400,
2007-09-07,1113.8200,
2007-09-14,1110.6800,
2007-09-21,1111.1800,
2007-09-28,1126.1400,
2007-10-05,1130.7200,
2007-10-12,1155.5000,
2007-10-19,1168.2500,
2007-10-26,1147.8500,
2007-11-02,1168.5400,
2007-11-09,1163.8000,
2007-11-16,1168.1200,
2007-11-23,1154.1200,
2007-11-30,1155.1700,
2007-12-07,1156.2400,
2007-12-14,1159.1700,
2007-12-21,1154.0400,
2007-12-28,1155.0100,
2008-01-04,1168.1600,
2008-01-11,1161.2100,
2008-01-18,1150.2400,
2008-01-25,1159.4500,
2008-02-01,1177.4700,
2008-02-08,1194.2800,
2008-02-15,1201.8000,
2008-02-22,1193.4500,
2008-02-29,1186.0800,
2008-03-07,1173.6600,
2008-03-14,1144.2200,
2008-03-21,1145.4100,
2008-03-28,1136.7500,
2008-04-04,1105.3900,
2008-04-11,1123.2300,
2008-04-18,1112.6100,
2008-04-25,1127.4200,
2008-05-02,1120.7600,
2008-05-09,1119.4200,
2008-05-16,1128.8600,
2008-05-23,1123.4500,
2008-05-30,1128.3300,
2008-06-06,1139.0600,
2008-06-13,1133.0500,
2008-06-20,1138.7300,
2008-06-27,1137.2200,
2008-07-04,1134.4300,
2008-07-11,1127.6100,
2008-07-18,1134.2000,
2008-07-25,1139.0300,
2008-08-01,1129.3600,
2008-08-08,1123.6300,
2008-08-15,1128.6000,
2008-08-22,1128.3400,
2008-08-29,1146.2400,
2008-09-05,1136.3800,
2008-09-12,1138.0100,
2008-09-19,1133.4600,
2008-09-26,1129.6600,
2008-10-03,1133.8300,
2008-10-10,1136.2100,
2008-10-17,1124.9200,
2008-10-24,1117.3800,
2008-10-31,1103.8600,
2008-11-07,1094.2200,
2008-11-14,1082.6800,
2008-11-21,1046.4100,
2008-11-28,1025.6700,
2008-12-05,1013.3000,
2008-12-12,982.1500,
2008-12-19,970.4800,
2008-12-26,946.5500,
2009-01-02,930.9300,
2009-01-09,915.7700,
2009-01-16,910.7000,
2009-01-23,889.3500,
2009-01-30,892.3600,
2009-02-06,886.9500,
2009-02-13,872.8200,
2009-02-20,869.8500,
2009-02-27,875.3200,
2009-03-06,848.2800,
2009-03-13,841.4400,
2009-03-20,835.2300,
2009-03-27,827.8700,
2009-04-03,824.4500,
2009-04-10,838.2400,
2009-04-17,833.9200,
2009-04-24,819.5500,
2009-05-01,822.7700,
2009-05-08,819.0600,
2009-05-15,813.9700,
2009-05-22,799.1300,
2009-05-29,798.0400,
2009-06-05,788.5900,
2009-06-12,780.6200,
2009-06-19,775.6400,
2009-06-26,763.3100,
2009-07-03,769.0500,
2009-07-10,784.0800,
2009-07-17,787.1400,
2009-07-24,789.5300,
2009-07-31,808.2300,
2009-08-07,828.1200,
2009-08-14,858.6300,
2009-08-21,866.9900,
2009-08-28,920.2400,
2009-09-04,939.4000,
2009-09-11,941.9000,
2009-09-18,945.3000,
2009-09-25,958.8700,
2009-10-02,960.2300,
2009-10-09,964.0500,
2009-10-16,966.2500,1000.0000
2009-10-23,961.1300,1009.0500
2009-10-30,965.1500,1035.7400
2009-11-06,969.9800,1061.7100
2009-11-13,980.1100,1052.6900
2009-11-20,985.6000,1051.3200
2009-11-27,993.9400,1040.9600
2009-12-04,993.4500,1037.1000
2009-12-11,991.4500,1039.4500
2009-12-18,990.9800,1059.1900
2009-12-25,995.9400,1072.5800
2010-01-01,995.9400,
2010-01-08,1004.5800,1106.2800
2010-01-15,1004.8300,1179.6300
2010-01-22,1040.3800,1244.8100
2010-01-29,1057.7800,1333.9300
2010-02-05,1081.6700,1377.2000
2010-02-12,1124.9100,1396.2100
2010-02-19,1124.9100,
2010-02-26,1168.3100,1407.5500
2010-03-05,1133.3900,1402.8700
2010-03-12,1135.7100,1378.0900
2010-03-19,1127.6200,1341.5900
2010-03-26,1120.1200,1327.9300
2010-04-02,1123.4600,1326.4000
2010-04-09,1117.8900,1326.8900
2010-04-16,1117.1200,1326.5100
2010-04-23,1115.8700,1338.1500
2010-04-30,1115.8700,
2010-05-07,1120.4600,1392.0900
2010-05-14,1120.1300,1417.4200
2010-05-21,1125.7800,1445.1300
2010-05-28,1128.6200,1472.9000
2010-06-04,1137.4700,1502.0200
2010-06-11,1143.8500,1543.7200
2010-06-18,1155.0900,1569.0400
2010-06-25,1171.5400,1576.8400
2010-07-02,1172.0000,1583.1800
2010-07-09,1184.9100,1581.8500
2010-07-16,1193.0800,1579.1600
2010-07-23,1198.6500,1563.9700
2010-07-30,1209.0600,1555.3000
2010-08-06,1213.0800,1544.7100
2010-08-13,1211.7900,1527.0600
2010-08-20,1207.9600,1513.6000
2010-08-27,1214.7000,1485.9000
2010-09-03,1202.5900,1450.2200
2010-09-10,1198.7700,1413.4100
2010-09-17,1197.6900,1375.8100
2010-09-24,1197.6900,
2010-10-01,1197.6900,
2010-10-08,1197.6900,
2010-10-15,1153.1700,1301.3100
2010-10-22,1132.0800,1277.0400
2010-10-29,1133.9600,1259.1100
2010-11-05,1118.7000,1242.8700
2010-11-12,1107.6700,1220.7000
2010-11-19,1097.3300,1189.7100
2010-11-26,1089.1800,1157.4500
2010-12-03,1075.8400,1124.9800
2010-12-10,1073.3800,1101.4200
2010-12-17,1058.1100,1086.3800
2010-12-24,1060.9100,1082.8400
2010-12-31,1053.9300,1122.6800
2011-01-07,1056.5100,1126.9400
2011-01-14,1065.3200,1111.8400
2011-01-21,1060.6400,1107.8500
2011-01-28,1059.9500,1104.6400
2011-02-04,1059.9500,
2011-02-11,1051.1400,1091.3300
2011-02-18,1052.5200,1060.4700
2011-02-25,1056.0600,1036.5100
2011-03-04,1046.3900,1023.8000
2011-03-11,1027.9000,993.9900
2011-03-18,1026.4600,989.1700
2011-03-25,1018.2500,989.4300
2011-04-01,1016.2500,1012.6300
2011-04-08,1004.9500,1021.6800
2011-04-15,1011.3500,1021.6600
2011-04-22,1001.9600,1018.9700
2011-04-29,1005.8800,1043.2200
2011-05-06,1008.2600,1069.0300
2011-05-13,1010.6900,1074.2900
2011-05-20,1013.3700,1075.6000
2011-05-27,1015.3900,1071.0200
2011-06-03,1007.9200,1054.6000
2011-06-10,999.6800,1046.8600
2011-06-17,998.2800,1031.4300
2011-06-24,981.6500,1024.7700
2011-07-01,982.1300,1030.8500
2011-07-08,989.0900,1030.6400
2011-07-15,983.8400,1016.8700
2011-07-22,976.3600,1009.3000
2011-07-29,980.7800,1013.0600
2011-08-05,978.8500,1019.1600
2011-08-12,983.5200,1033.2400
2011-08-19,990.9700,1064.1000
2011-08-26,994.8800,1064.2600
2011-09-02,992.9900,1057.1100
2011-09-09,1001.4600,1041.2600
2011-09-16,996.3500,1020.3800
2011-09-23,989.7800,991.3400
2011-09-30,975.6100,973.7300
2011-10-07,975.6100,
2011-10-14,966.0800,947.5400
2011-10-21,952.2800,939.1600
2011-10-28,951.9600,932.6200
2011-11-04,945.3700,919.4400
2011-11-11,935.7100,898.1800
2011-11-18,931.5700,885.3800
2011-11-25,923.6700,879.0500
2011-12-02,921.9900,868.3100
2011-12-09,911.7700,855.5400
2011-12-16,905.5200,853.6100
2011-12-23,892.7900,856.6400
2011-12-30,881.1500,947.5800
2012-01-06,896.0600,975.3100
2012-01-13,920.5600,981.0500
2012-01-20,924.2500,982.5600
2012-01-27,924.2500,
2012-02-03,943.4500,970.7100
2012-02-10,945.9600,965.2300
2012-02-17,943.5100,949.3300
2012-02-24,941.2000,977.0900
2012-03-02,942.3700,1163.9600
2012-03-09,1002.7100,1170.5700
2012-03-16,1047.2300,1223.2500
2012-03-23,1072.8600,1230.1800
2012-03-30,1135.1100,1347.5000
2012-04-06,1175.7100,1374.9000
2012-04-13,1198.8700,1416.8700
2012-04-20,1214.6900,1426.2300
2012-04-27,1263.1000,1488.1400
2012-05-04,1263.9500,1501.4600
2012-05-11,1322.0100,1464.8200
2012-05-18,1335.8600,1426.0000
2012-05-25,1331.4000,1408.8100
2012-06-01,1324.6700,1386.9000
2012-06-08,1319.3800,1414.7200
2012-06-15,1312.9800,1450.2300
2012-06-21,1315.0300,
2012-06-22,1315.0300,1425.6600
