,Environmental Policy & Management Systems,Human Capital Development,Information Security Cybersecurity & System Availability,Innovation Management,Operational Eco-Efficiency,Talent Attraction & Retention,Climate Strategy
Company,31,85,57,39,82,59,77
Industry Best,100,98,100,100,100,90,99
Industry Mean,25,35,26,12,25,16,18
