,Talent Attraction & Retention,Responsibility of Content,Operational Eco-Efficiency,Innovation Management,Information Security Cybersecurity & System Availability,Human Capital Development,Climate Strategy
Company,43,82,71,34,73,54,84
Industry Best,92,82,88,93,81,100,84
Industry Mean,10,11,13,4,18,26,6
