,Human Capital Development,Information Security Cybersecurity & System Availability,Innovation Management,Operational Eco-Efficiency,Talent Attraction & Retention,Climate Strategy,Environmental Policy & Management Systems
Company,68,73,26,95,58,88,36
Industry Best,98,100,100,100,90,99,100
Industry Mean,35,26,12,25,16,18,25
