,Climate Strategy,Human Rights,Labor Practice Indicators,Operational Eco-Efficiency,Packaging,Risk & Crisis Management,Supply Chain Management,Sustainable Marketing & Brand Perception
Company,4,34,22,36,18,20,17,0
Industry Best,99,98,93,100,87,88,93,100
Industry Mean,16,13,20,22,9,18,11,4
