,Business Ethics,Health Outcome Contribution,Human Capital Development,Innovation Management,Operational Eco-Efficiency,Product Quality & Recall Management,Supply Chain Management,Talent Attraction & Retention
Company,77,100,100,84,96,63,95,88
Industry Best,91,100,100,100,97,100,95,88
Industry Mean,32,7,22,5,14,45,9,9
