,Innovation Management,Operational Eco-Efficiency,Product Quality & Recall Management,Supply Chain Management,Talent Attraction & Retention,Business Ethics,Health Outcome Contribution,Human Capital Development
Company,62,0,84,21,9,64,0,30
Industry Best,100,97,100,95,88,91,100,100
Industry Mean,5,14,45,9,9,32,7,22
