,Product Quality & Recall Management,Supply Chain Management,Talent Attraction & Retention,Business Ethics,Health Outcome Contribution,Human Capital Development,Innovation Management,Operational Eco-Efficiency
Company,81,72,19,41,64,30,8,38
Industry Best,100,95,88,91,100,100,100,97
Industry Mean,45,9,9,32,7,22,5,14
