,Human Rights,Information Security Cybersecurity & System Availability,Innovation Management,Operational Eco-Efficiency,Product Stewardship,Supply Chain Management,Climate Strategy,Human Capital Development
Company,33,16,4,74,59,6,78,45
Industry Best,100,93,100,100,100,99,98,100
Industry Mean,27,26,19,36,25,27,33,42
