,Operational Eco-Efficiency,Innovation Management,Information Security Cybersecurity & System Availability,Human Capital Development,Environmental Policy & Management Systems,Climate Strategy,Talent Attraction & Retention
Company,75,40,7,51,60,80,53
Industry Best,100,76,93,89,91,83,83
Industry Mean,13,4,20,25,13,7,9
