,Innovation Management,Talent Attraction & Retention,Supply Chain Management,Low Carbon Strategy,Occupational Health & Safety,Operational Eco-Efficiency,Climate Strategy,Corporate Governance,Human Capital Development
Company,21,30,38,99,28,53,37,62,0
Industry Best,100,99,94,99,80,100,93,80,100
Industry Mean,40,25,27,15,26,42,35,44,47
