,Biodiversity,Occupational Health & Safety,Human Rights,Business Ethics,Climate Strategy,Energy Mix,Social Impacts on Communities,Risk & Crisis Management,Operational Eco-Efficiency
Company,15,38,11,23,55,47,52,8,24
Industry Best,77,95,93,100,95,91,93,100,97
Industry Mean,10,40,17,45,28,26,17,24,31
