,Innovation Management,Operational Eco-Efficiency,Product Quality & Recall Management,Supply Chain Management,Talent Attraction & Retention,Business Ethics,Health Outcome Contribution,Human Capital Development
Company,0,27,56,18,7,43,28,29
Industry Best,100,97,100,95,88,91,100,100
Industry Mean,5,14,45,9,9,32,7,22
