,Innovation Management,Operational Eco-Efficiency,Product Quality & Recall Management,Supply Chain Management,Talent Attraction & Retention,Business Ethics,Health Outcome Contribution,Human Capital Development
Company,8,56,100,34,26,72,40,39
Industry Best,100,97,100,95,88,91,100,100
Industry Mean,5,14,45,9,9,32,7,22
