,Talent Attraction & Retention,Human Capital Development,Climate Strategy,Responsibility of Content,Operational Eco-Efficiency,Innovation Management,Information Security Cybersecurity & System Availability
Company,0,18,55,64,72,4,19
Industry Best,92,100,84,82,88,93,81
Industry Mean,10,26,6,11,13,4,18
