,Supply Chain Management,Product Stewardship,Product Quality & Recall Management,Operational Eco-Efficiency,Occupational Health & Safety,Innovation Management,Human Capital Development,Biodiversity
Company,59,85,0,64,17,69,21,27
Industry Best,97,100,100,99,88,100,90,39
Industry Mean,23,24,13,40,25,18,32,8
