,Innovation Management,Operational Eco-Efficiency,Product Quality & Recall Management,Supply Chain Management,Talent Attraction & Retention,Business Ethics,Health Outcome Contribution,Human Capital Development
Company,0,1,52,10,5,33,0,0
Industry Best,100,97,100,95,88,91,100,100
Industry Mean,5,14,45,9,9,32,7,22
