,Occupational Health & Safety,Human Rights,Business Ethics,Climate Strategy,Biodiversity,Energy Mix,Social Impacts on Communities,Risk & Crisis Management,Operational Eco-Efficiency
Company,66,24,46,30,8,46,45,10,37
Industry Best,95,93,100,95,77,91,93,100,97
Industry Mean,40,17,45,28,10,26,17,24,31
