,Human Capital Development,Operational Eco-Efficiency,Product Quality & Recall Management,Supply Chain Management,Talent Attraction & Retention,Business Ethics,Health Outcome Contribution,Innovation Management
Company,13,8,32,15,7,49,0,0
Industry Best,100,97,100,95,88,91,100,100
Industry Mean,22,14,45,9,9,32,7,5
