,Decarbonization Strategy,Climate Strategy,Business Ethics,Corporate Governance,Financial Inclusion,Human Capital Development,Risk & Crisis Management,Sustainable Finance,Talent Attraction & Retention
Company,8,24,25,89,82,48,45,55,15
Industry Best,63,99,99,91,100,100,100,96,100
Industry Mean,5,20,37,51,33,47,27,17,17
