,Packaging,Risk & Crisis Management,Supply Chain Management,Sustainable Marketing & Brand Perception,Climate Strategy,Human Rights,Labor Practice Indicators,Operational Eco-Efficiency
Company,18,29,18,0,65,38,35,61
Industry Best,87,88,93,100,99,98,93,100
Industry Mean,9,18,11,4,16,13,20,22
