,Talent Attraction & Retention,Supply Chain Management,Human Capital Development,Innovation Management,Operational Eco-Efficiency,Product Quality & Recall Management,Product Stewardship,Climate Strategy,Environmental Policy & Management Systems
Company,85,84,84,81,74,90,100,57,63
Industry Best,85,100,100,100,99,100,100,95,100
Industry Mean,12,19,33,12,26,13,16,16,33
