,PG,Industry Best,Industry Mean
Biodiversity,27,39,8
Human Capital Development,21,90,32
Innovation Management,69,100,17
Occupational Health & Safety,17,88,25
Operational Eco-Efficiency,64,99,39
Product Quality & Recall Management,0,100,12
Product Stewardship,85,100,23
Supply Chain Management,59,97,22
