,WMT,Industry Best,Industry Mean
Climate Strategy,92,94,23
Human Rights,11,100,15
Occupational Health & Safety,6,100,13
Operational Eco-Efficiency,80,100,30
Packaging,83,100,18
Supply Chain Management,76,94,15
Sustainable Agricultural Practices,70,79,12
