,UPS,Industry Best,Industry Mean
Business Ethics,62,94,34
Climate Strategy,39,97,21
Fuel Efficiency,0,100,13
Occupational Health & Safety,32,97,20
Operational Eco-Efficiency,77,100,34
Risk & Crisis Management,18,94,19
Stakeholder Engagement,42,100,10
Talent Attraction & Retention,9,83,13
