,HD,Industry Best,Industry Mean
Climate Strategy,65,99,16
Human Rights,38,98,13
Labor Practice Indicators,35,93,21
Operational Eco-Efficiency,61,100,22
Packaging,18,87,9
Risk & Crisis Management,29,88,18
Supply Chain Management,18,93,11
Sustainable Marketing & Brand Perception,0,100,4
