,COST,Industry Best,Industry Mean
Climate Strategy,28,94,23
Human Rights,0,100,15
Occupational Health & Safety,0,100,13
Operational Eco-Efficiency,42,100,30
Packaging,20,100,18
Supply Chain Management,13,94,15
Sustainable Agricultural Practices,49,79,12
