,CVX,Industry Best,Industry Mean
Biodiversity,15,77,9
Business Ethics,23,100,43
Climate Strategy,55,95,26
Energy Mix,47,91,25
Human Rights,11,93,16
Occupational Health & Safety,38,95,38
Operational Eco-Efficiency,24,97,30
Risk & Crisis Management,8,100,23
Social Impacts on Communities,52,93,16
