,TMO,Industry Best,Industry Mean
Business Ethics,51,81,38
Climate Strategy,57,74,15
Human Capital Development,30,91,27
Innovation Management,3,95,8
Operational Eco-Efficiency,46,97,26
Risk & Crisis Management,10,66,16
Supply Chain Management,27,78,16
Talent Attraction & Retention,21,84,14
