,CSCO,Industry Best,Industry Mean
Environmental Policy & Management Systems,79,85,29
Human Capital Development,76,94,27
Information Security Cybersecurity & System Availability,65,87,15
Innovation Management,97,97,5
Operational Eco-Efficiency,100,100,23
Product Stewardship,83,88,7
Supply Chain Management,86,86,13
Talent Attraction & Retention,68,75,7
