,ACN,Industry Best,Industry Mean
Climate Strategy,86,100,17
Environmental Policy & Management Systems,38,100,25
Human Capital Development,86,98,35
Information Security Cybersecurity & System Availability,80,100,25
Innovation Management,29,100,11
Operational Eco-Efficiency,87,100,25
Talent Attraction & Retention,29,90,15
