,T,Industry Best,Industry Mean
Biodiversity,8,58,3
Climate Strategy,86,100,30
Human Capital Development,96,100,45
Information Security Cybersecurity & System Availability,62,100,31
Network Reliability,80,100,24
Operational Eco-Efficiency,94,100,36
Risk & Crisis Management,70,100,27
