,MSFT,Industry Best,Industry Mean
Climate Strategy,80,83,6
Environmental Policy & Management Systems,60,91,13
Human Capital Development,51,89,24
Information Security Cybersecurity & System Availability,7,93,19
Innovation Management,40,76,4
Operational Eco-Efficiency,75,100,12
Talent Attraction & Retention,53,83,8
