,MA,Industry Best,Industry Mean
Climate Strategy,77,100,17
Environmental Policy & Management Systems,31,100,25
Human Capital Development,85,98,35
Information Security Cybersecurity & System Availability,57,100,25
Innovation Management,39,100,11
Operational Eco-Efficiency,82,100,25
Talent Attraction & Retention,59,90,15
