,AMZN,Industry Best,Industry Mean
Climate Strategy,4,99,16
Human Rights,34,98,13
Labor Practice Indicators,15,93,21
Operational Eco-Efficiency,36,100,22
Packaging,18,87,9
Risk & Crisis Management,14,88,18
Supply Chain Management,17,93,11
Sustainable Marketing & Brand Perception,0,100,4
