,JPM,Industry Best,Industry Mean
Business Ethics,25,99,37
Climate Strategy,24,99,20
Corporate Governance,89,91,50
Decarbonization Strategy,8,63,5
Financial Inclusion,82,100,33
Human Capital Development,48,100,47
Risk & Crisis Management,45,100,27
Sustainable Finance,55,96,17
Talent Attraction & Retention,15,100,17
