,RTX,Industry Best,Industry Mean
Business Ethics,26,97,36
Climate Strategy,61,81,20
Compliance with Applicable Export Control Regimes,7,100,16
Human Capital Development,34,96,33
Human Rights,27,69,15
Occupational Health & Safety,24,91,21
Operational Eco-Efficiency,44,100,25
Product Stewardship,9,100,11
Supply Chain Management,17,89,15
