,PEP,Industry Best,Industry Mean
Climate Strategy,86,97,31
Food Loss & Waste,25,99,9
Human Capital Development,47,98,40
Innovation Management,9,100,17
Packaging,57,100,27
Supply Chain Management,36,100,23
Talent Attraction & Retention,19,99,19
Water Related Risks,0,100,22
