,XOM,Industry Best,Industry Mean
Biodiversity,8,77,9
Business Ethics,46,100,43
Climate Strategy,30,95,26
Energy Mix,46,91,25
Human Rights,24,93,16
Occupational Health & Safety,66,95,38
Operational Eco-Efficiency,11,97,30
Risk & Crisis Management,7,100,23
Social Impacts on Communities,13,93,16
