,NKE,Industry Best,Industry Mean
Circular Fashion,29,100,10
Climate Strategy,69,91,19
Human Rights,36,98,19
Labor Practice Indicators,21,96,27
Occupational Health & Safety,12,95,14
Product Stewardship,0,100,10
Risk & Crisis Management,20,94,21
Supply Chain Management,14,100,16
Sustainable Marketing & Brand Perception,0,100,6
