,MCD,Industry Best,Industry Mean
Biodiversity,24,45,1
Business Ethics,14,83,19
Climate Strategy,65,93,10
Human Rights,7,68,6
Labor Practice Indicators,9,88,14
Occupational Health & Safety,6,45,4
Operational Eco-Efficiency,59,100,13
Supply Chain Management,15,97,6
