,BAC,Industry Best,Industry Mean
Business Ethics,28,99,37
Climate Strategy,80,99,20
Corporate Governance,79,91,50
Decarbonization Strategy,35,63,5
Financial Inclusion,96,100,33
Human Capital Development,77,100,47
Risk & Crisis Management,69,100,27
Sustainable Finance,60,96,17
Talent Attraction & Retention,58,100,17
