,LIN,Industry Best,Industry Mean
Business Ethics,90,100,34
Climate Strategy,80,93,23
Human Capital Development,96,100,33
Innovation Management,100,100,10
Occupational Health & Safety,67,91,26
Operational Eco-Efficiency,100,100,29
Product Stewardship,97,99,13
Talent Attraction & Retention,63,92,12
Water Related Risks,100,100,11
