,CMCSA,Industry Best,Industry Mean
Climate Strategy,57,92,10
Human Capital Development,15,90,23
Information Security Cybersecurity & System Availability,40,96,15
Labor Practice Indicators,38,91,19
Operational Eco-Efficiency,54,100,18
Responsibility of Content,16,100,10
Sustainable Marketing & Brand Perception,0,100,5
Talent Attraction & Retention,4,87,8
