,WFC,Industry Best,Industry Mean
Business Ethics,25,99,37
Climate Strategy,13,99,20
Corporate Governance,70,91,50
Decarbonization Strategy,13,63,5
Financial Inclusion,68,100,33
Human Capital Development,54,100,47
Risk & Crisis Management,13,100,27
Sustainable Finance,26,96,17
Talent Attraction & Retention,8,100,17
