,KO,Industry Best,Industry Mean
Climate Strategy,80,97,31
Food Loss & Waste,0,99,9
Human Capital Development,0,98,40
Innovation Management,0,100,17
Packaging,38,100,27
Supply Chain Management,19,100,23
Talent Attraction & Retention,0,99,19
Water Related Risks,72,100,22
