,DHR,Industry Best,Industry Mean
Business Ethics,64,81,38
Climate Strategy,34,74,15
Human Capital Development,15,91,27
Innovation Management,10,95,8
Operational Eco-Efficiency,57,97,26
Risk & Crisis Management,29,66,16
Supply Chain Management,63,78,16
Talent Attraction & Retention,39,84,14
