,PM,Industry Best,Industry Mean
Business Ethics,89,94,49
Climate Strategy,96,97,37
Human Capital Development,90,100,44
Human Rights,90,97,33
Innovation Management,100,100,22
Occupational Health & Safety,70,89,31
Operational Eco-Efficiency,100,100,51
Supply Chain Management,90,100,32
Sustainable Agricultural Practices,73,95,24
