,DIS,Industry Best,Industry Mean
Climate Strategy,71,92,10
Human Capital Development,48,90,23
Information Security Cybersecurity & System Availability,30,96,15
Labor Practice Indicators,39,91,19
Operational Eco-Efficiency,47,100,18
Responsibility of Content,77,100,10
Sustainable Marketing & Brand Perception,28,100,5
Talent Attraction & Retention,6,87,8
