,AAPL,ABBV,AMZN,CVX,GOOGL,HD,JPM,LLY,MA,META,MRK,MSFT,NVDA,PFE,PG,TSLA,UNH,V,XOM
2018,27,80,14,43,31,30,45,30,45,11,39,58,69,27,52,13,76,53,35
2019,29,76,18,40,38,31,37,30,58,15,40,57,72,29,60,14,69,58,37
2020,29,81,21,42,40,26,37,29,62,14,39,58,74,31,60,15,70,63,36
2021,32,82,24,39,44,37,40,33,59,18,38,58,74,30,58,27,74,62,36
2022,37,75,22,43,46,33,36,41,61,25,43,56,72,35,49,37,79,65,37
