,ABT,BAX,BDX,BSX,XRAY,DXCM,EW,HOLX,IDXX,PODD,ISRG,MDT,RMD,STE,SYK,TFX,ZBH,COO
2018,82,71,52,34,22,10,69,22,17,12,12,61,19,13,14,14,28,11
2019,85,74,54,44,21,11,74,36,21,10,12,67,19,14,18,17,32,11
2020,86,76,48,51,22,11,73,47,18,15,14,70,25,19,24,18,33,10
2021,80,73,46,59,26,33,75,50,24,17,18,68,41,23,36,19,34,17
2022,81,70,45,62,27,34,75,52,29,20,20,65,42,25,42,29,29,27
